°í°´¹øÈ£,A,B,C,D
243,64,993,6,0
244,971,0,0,0
245,1042,5,1594,0
246,496,227,2,0
247,1866,279,81,0
248,443,1232,139,0
249,684,14,14,2
250,764,41,153,0
251,643,6,172,0
252,622,42,5,2
253,556,0,13,0
254,860,53,8,0
255,777,90,126,0
256,651,23,668,0
257,62,2726,49,0
258,633,33,197,0
259,68,3130,26,0
260,50,1376,15,0
261,611,22,17,2
262,1608,70,2,0
263,7,1099,97,0
264,47,788,1403,0
265,647,0,28,0
266,642,9,98,0
267,448,86,13,0
268,878,259,579,0
269,180,17,4662,0
270,16,1454,5,0
271,706,6,0,1
272,139,1644,2,0
273,977,147,13,0
274,7,1336,6,0
275,844,439,1414,0
276,20,18,3021,0
277,375,1048,5,0
278,23,4,1918,0
279,777,1,9,0
280,795,57,8,0
281,608,109,763,0
282,765,63,18,0
283,712,2,3,0
284,1,549,9,0
285,576,267,7,0
286,589,414,12,0
287,10,936,3,0
288,261,2080,5,0
289,726,185,13,0
290,9,1778,0,0
291,5,2057,27,0
292,1396,33,25,0
293,516,701,2,0
294,456,5,26,3
295,420,68,7,0
296,1591,5,362,0
297,540,1,419,0
298,724,14,540,0
299,491,292,1,0
300,7,2045,12,0
301,608,56,0,9
302,944,20,212,0
303,223,2108,70,4
304,298,133,34,0
305,732,111,903,0
306,857,18,5,0
307,683,271,1,2
308,740,31,151,0
309,699,17,24,0
310,279,1189,32,0
311,898,90,80,0
312,8,26,1333,0
313,551,883,292,0
314,1087,2,6,0
315,1114,43,476,0
316,538,194,626,0
317,804,422,299,0
318,754,3,6,0
319,571,2,0,0
320,751,280,48,0
321,720,132,879,0
322,155,1684,2,0
323,567,670,111,0
324,758,718,86,0
325,566,148,50,0
326,679,606,0,3
327,527,72,4,0
328,489,3,1,0
329,527,479,536,0
330,175,1353,28,0
331,101,1186,43,0
332,823,299,663,0
333,758,1383,813,0
334,600,0,0,0
335,900,32,126,0
336,100,981,1,0
337,756,79,325,0
338,30,1356,18,0
339,1,2614,3,0
340,439,31,1,5
341,605,31,13,0
342,0,1434,198,0
343,633,0,294,6
344,610,362,0,0
345,502,16,47,0
346,682,5,4,0
347,429,1021,12,0
348,2,211,2008,0
349,692,875,91,1
350,704,732,12,2
351,818,237,13,0
352,485,232,2,0
353,2,1218,6,0
354,2,1259,3,0
355,486,523,0,1
356,572,68,8,0
357,42,33,1365,0
358,559,30,0,9
359,335,1395,73,2
360,45,2589,2,0
361,589,479,206,0
362,13,1578,1,0
363,932,6,2,0
364,244,1038,0,3
365,543,1218,4,1
366,1,726,8,0
367,1070,11,1027,68
368,611,703,422,0
369,577,1,20,0
370,6,1568,90,0
371,4,1531,3,0
372,36,1671,2,0
373,475,512,90,28
374,679,33,1,1
375,525,267,0,1
376,141,280,945,1
377,1013,56,4,0
378,526,289,186,0
379,588,0,19,1
380,21,3,1423,0
381,618,0,0,0
382,575,117,66,0
383,443,14,20,0
384,11,1468,100,0
385,53,1474,11,0
386,683,114,231,0
387,644,594,631,0
388,478,257,119,0
389,69,3333,22,0
390,10,1420,9,0
391,626,821,93,0
392,431,335,56,0
393,602,0,3,0
394,1171,0,573,4
395,34,1943,11,0
396,630,774,50,0
397,112,1382,208,0
398,697,4,375,0
399,497,1,12,0
400,1258,131,15,0
401,595,8,4,0
402,586,1,144,0
403,64,1141,0,0
404,515,588,9,0
405,817,2,3,0
406,3,1570,2,0
407,607,5,23,0
408,553,4,15,0
409,570,175,5,0
410,7,700,7,0
411,1038,49,71,0
412,696,150,744,0
413,691,447,199,0
414,544,238,32,0
415,55,2249,5,0
416,644,104,1,0
417,563,50,1,1
418,6,1661,0,3
419,665,0,0,25
420,439,400,244,0
421,1298,2513,7,2
422,517,66,2,0
423,893,7,21,0
424,3,22,1545,0
425,86,1049,24,0
426,761,165,3,0
427,641,36,4,0
428,1570,46,0,11
429,765,145,244,0
430,816,3,8,0
431,493,28,189,0
432,707,214,2,0
433,632,239,0,3
434,1414,13,998,0
435,652,0,49,0
436,566,60,273,0
437,4,1,1551,0
438,481,254,36,0
439,1,31,1993,0
440,663,77,3,1
441,481,306,22,0
442,4,4136,44,0
443,531,19,46,0
444,714,523,18,0
445,9,689,6,0
446,28,2225,166,0
447,501,346,3,0
448,564,90,2,0
449,318,1451,0,1
450,542,453,223,0
451,507,1197,3,0
452,9,11,2812,0
453,618,424,9,0
454,147,1038,35,0
455,503,9,597,0
456,187,82,2817,3
457,1829,309,3296,0
458,73,1481,4,0
459,1688,8,0,9
460,412,43,30,0
461,491,319,17,2
462,715,30,242,0
463,948,0,0,0
464,164,1783,4,0
465,140,1752,7,0
466,899,150,24,0
467,325,1120,151,18
468,907,729,12,0
469,825,9,0,6
470,19,1146,416,0
471,702,12,27,0
472,13,1458,9,0
473,22,1472,2,0
474,708,1752,4,0
475,73,1102,138,0
476,2,0,2664,0
477,486,271,6,0
478,569,395,86,0
479,192,986,249,0
480,667,379,2,0
481,706,278,0,1
482,95,1091,36,0
483,574,10,1,0
484,658,6,22,0
485,558,154,0,0
486,1015,1,3,0
487,2,1911,0,2
488,6,0,2632,6
489,909,21,495,0
490,1023,9,4,0
491,201,5,1495,0
492,912,0,7,3
493,41,2055,26,0
494,767,178,61,0
495,39,4,1212,0
496,1385,175,1,2
497,6,1834,306,0
498,103,1152,2,0
499,1,829,4,0
500,597,69,1444,3
501,460,23,4,0
502,755,3,1513,0
503,734,78,3304,18
504,608,268,3,3
505,568,1440,1,0
506,208,825,6,0
507,1099,21,11,0
508,661,301,2,0
509,905,7,10,0
510,589,441,103,0
511,13,1434,5,0
512,1,1368,3,0
513,635,5,2,0
514,64,1342,21,0
515,708,25,175,0
516,71,2082,10,0
517,843,60,24,0
518,874,543,9,0
519,450,397,0,2
520,743,12,2,0
521,610,1626,5,0
522,169,1210,5,0
523,2,13,2612,0
524,181,1971,33,0
525,896,271,9,3
526,695,81,1122,0
527,13,5,1666,0
528,1,578,1,0
529,732,898,19,0
530,679,23,32,0
531,605,58,88,0
532,528,95,10,2
533,2,1562,4,0
534,697,1,1,0
535,533,94,72,0
536,544,270,1,0
537,2,1191,500,0
538,849,1,28,0
539,758,306,7,0
540,721,561,23,0
541,345,1786,12,0
542,622,160,44,0
543,802,263,24,0
544,855,10,106,0
545,563,7,0,67
546,553,9,1,0
547,256,902,441,0
548,472,726,14,12
549,599,43,211,0
550,618,407,31,1
551,49,1888,46,0
552,634,239,11,0
553,901,103,0,9
554,613,8,72,11
555,124,1015,19,0
556,30,1772,8,0
557,34,1866,19,0
558,679,34,0,34
559,1182,3,156,0
560,504,17,20,0
561,655,20,854,0
562,691,32,2,0
563,166,2294,34,3
564,847,2,412,0
565,608,33,76,0
566,715,16,2,0
567,445,864,8,0
568,16,120,809,0
569,1056,101,0,13
570,1,2,1108,0
571,660,161,53,0
572,578,207,13,0
573,135,1872,47,0
574,553,1212,22,0
575,500,596,4,0
576,548,317,189,0
577,630,313,29,0
578,733,1328,122,0
579,1,544,2,0
580,463,616,7,0
581,467,341,371,0
582,632,65,0,1
583,2,1236,1,0
584,736,112,11,0
585,619,277,99,0
586,607,75,3,0
587,799,3,0,5
588,854,57,2084,0
589,611,60,205,0
590,456,19,702,7
591,7,2,1701,1
592,481,1,631,0
593,480,53,0,0
594,495,100,20,0
595,443,5,14,0
596,1424,14,0,0
597,832,10,153,0
598,666,5,464,1
599,529,214,490,0
600,272,2201,2,0
601,748,0,0,0
602,486,88,24,5
603,699,87,43,12
604,763,15,19,0
605,1,13,1071,0
606,563,173,27,0
607,643,288,308,0
608,627,1138,96,0
609,7,816,26,0
610,743,0,0,2
611,686,35,109,0
612,707,18,64,2
613,713,369,674,0
614,667,0,63,0
615,648,98,18,0
616,29,1397,5,0
617,514,570,65,1
618,737,271,265,1
619,7,250,2126,0
620,585,21,2,0
621,4,1000,6,0
622,532,126,159,1
623,67,1384,157,1
624,2,1423,222,0
625,889,17,65,1
626,3,1376,77,0
627,538,2,136,0
628,111,134,2931,0
629,146,1736,140,0
630,849,93,4,0
631,632,70,25,0
632,817,26,61,0
633,588,1219,0,31
634,706,1,0,0
635,598,15,280,0
636,702,38,21,0
637,673,842,0,0
638,457,413,0,10
639,657,13,2148,0
640,664,249,5,0
641,780,142,11,0
642,1180,8,20,0
643,723,56,7,0
644,612,24,913,0
645,828,119,471,0
646,63,2516,22,0
647,24,19,2744,0
648,626,3,49,0
649,539,7,0,9
650,12,661,101,0
651,509,24,5,3
652,519,38,136,0
653,7,1319,28,0
654,981,44,288,0
655,12,1929,4,0
656,556,11,1,0
657,783,22,21,0
658,800,873,7,1
659,1,1212,0,1
660,2,5,2594,0
661,220,741,9,0
662,1,1230,12,0
663,1,28,1235,1
664,631,23,34,0
665,108,2275,1,0
666,10,12,1522,0
667,550,194,229,0
668,1,2,1367,0
669,772,33,3,0
670,605,1,999,0
671,55,1513,454,0
672,679,19,26,0
673,807,10,0,0
674,470,13,35,0
675,290,1308,18,0
676,794,55,5,0
677,164,1759,14,0
678,2,1438,3,0
679,6,64,2441,0
680,438,1632,6,0
681,602,57,15,0
682,1,1870,2,0
683,45,1410,1,0
684,691,22,24,0
685,70,14,2881,0
686,685,1,239,0
687,816,2,68,0
688,10,750,69,0
689,494,10,32,0
690,691,390,1,1
691,674,207,3,1
692,123,1642,6,3
693,826,315,354,0
694,639,395,52,0
695,509,21,116,0
696,533,11,18,11
697,460,18,9,3
698,609,7,1,0
699,36,284,1776,0
700,20,2,2261,0
701,1970,2,739,0
702,76,953,0,3
703,530,41,0,2
704,881,82,0,1
705,111,1660,4,0
706,38,940,0,0
707,943,1,24,0
708,668,188,310,0
709,849,20,1021,0
710,66,1464,15,0
711,630,0,0,0
712,790,485,97,0
713,717,124,3,0
714,126,631,3,0
715,692,65,4,0
716,504,1593,32,0
717,458,14,30,0
718,579,32,62,0
719,180,2095,4,0
720,12,1894,1,0
721,5,1446,28,0
722,1,1447,9,0
723,292,801,138,0
724,2,751,6,0
725,73,2399,20,0
726,37,610,1,0
727,872,431,9,0
728,483,171,14,5
729,792,469,10,0
730,346,2398,6,0
731,20,1585,10,0
732,696,43,7,0
733,610,1492,4,0
734,50,1090,26,0
735,625,258,41,0
736,560,5,239,0
737,233,1128,233,0
738,57,813,1,0
739,26,777,14,0
740,2,2110,55,0
741,29,1266,384,0
742,813,290,9,2
743,57,1126,3,0
744,85,528,936,0
745,648,71,560,0
746,604,86,25,0
747,731,805,7,0
748,920,4,2,0
749,64,2589,244,0
750,22,813,53,0
751,2,1,1298,0
752,627,0,0,0
753,96,3,1522,0
754,434,82,103,0
755,498,1620,45,2
756,209,126,1321,0
757,695,4,122,0
758,938,186,0,0
759,920,981,302,0
760,95,1596,70,1
761,32,6,1718,0
762,58,245,2298,0
763,580,259,1,0
764,583,615,156,0
765,573,3,0,2
766,131,2325,29,0
767,195,8,1049,0
768,649,1,188,0
769,385,1591,7,0
770,809,121,5,1
771,559,438,4,0
772,662,194,41,17
773,639,148,265,1
774,529,569,8,0
775,492,9,945,0
776,27,2210,25,0
777,596,51,340,0
778,39,3073,210,0
779,462,2513,4,42
780,699,1308,11,0
781,952,50,43,6
782,4,3,1305,0
783,504,15,1,0
784,626,84,82,0
785,881,4,13,0
786,538,33,13,0
787,724,37,0,1
788,276,37,2464,2
789,577,1,4,0
790,3,1110,25,0
791,344,87,1575,0
792,539,3,12,0
793,0,222,1624,1
794,537,2,0,1
795,1136,20,272,0
796,292,2126,332,0
797,1006,659,1,0
798,3,17,1268,0
799,614,233,140,2
800,538,567,73,0
801,841,135,121,0
802,175,1068,2,0
803,496,16,9,0
804,4,2,1137,0
805,12,18,1556,0
806,796,3,1,1
807,722,205,15,0
808,1456,69,35,3
809,403,2593,1,4
810,587,51,12,0
811,623,238,23,0
812,633,77,5,0
813,2,44,3109,0
814,524,120,179,0
815,598,26,2,0
816,880,695,1,3
817,699,24,8,0
818,169,1420,1,0
819,634,105,8,0
820,14,1789,0,12
821,7,18,2347,0
822,74,1269,9,0
823,1137,177,58,11
824,258,1919,11,0
825,539,16,9,0
826,16,1166,2,18
827,647,266,0,2
828,608,39,2,0
829,68,1098,7,0
830,65,1469,16,0
831,12,70,1519,0
832,1030,10,197,0
833,868,588,190,0
834,5,1642,2,0
835,110,2159,4,0
836,1,1175,5,0
837,47,10,1658,0
838,732,13,500,0
839,847,1771,71,24
840,304,10,1,129
841,495,42,172,0
842,586,40,156,0
843,7,1816,60,0
844,730,194,0,8
845,947,51,9,0
846,519,48,443,0
847,976,2,112,0
848,457,116,11,0
849,9,1428,13,0
850,838,209,298,0
851,465,2,227,0
852,722,1,826,2
853,565,14,15,0
854,116,1890,52,0
855,769,3,310,0
856,669,178,1,0
857,730,19,6,0
858,686,272,19,2
859,714,927,23,7
860,0,2551,6,1
861,768,77,5,0
862,8,1512,40,0
863,593,444,53,1
864,118,1613,62,0
865,1031,75,39,0
866,665,74,31,0
867,298,15,1435,0
868,613,154,27,0
869,524,114,76,0
870,627,5,7,0
871,16,1685,8,0
872,1078,13,0,5
873,798,361,8,5
874,815,3,565,0
875,716,1222,24,1
876,34,1,2324,0
877,17,1999,1,0
878,1101,192,128,0
879,542,10,2637,2
880,777,841,0,0
881,1,242,1162,0
882,511,417,35,0
883,663,14,0,0
884,802,32,512,0
885,965,35,70,0
886,512,462,229,0
887,591,373,113,0
888,69,2562,21,0
889,443,1460,2,0
890,603,34,12,0
891,396,4613,2,0
892,3,1290,7,0
893,987,4,564,0
894,469,408,131,0
895,683,96,198,0
896,8,1158,0,5
897,1038,62,27,0
898,735,652,0,1
899,727,123,122,0
900,9,1841,27,0
901,41,81,1424,0
902,2,5,1556,0
903,381,1936,619,0
904,707,3,3,3
905,645,0,36,0
906,122,1329,14,0
907,959,2,0,2
908,55,491,22,0
909,9,2391,191,0
910,21,856,78,0
911,608,632,1,1
912,566,74,6,2
913,1174,11,0,6
914,933,411,7,0
915,472,336,91,7
916,648,19,14,0
917,4,5,1623,0
918,585,581,15,0
919,684,69,7,8
920,723,68,542,0
921,29,772,0,1
922,5,2761,22,0
923,678,17,16,0
924,546,18,1,0
925,991,10,0,0
926,2,1935,11,0
927,557,343,0,1
928,1077,2225,70,0
929,731,7,35,0
930,7,1241,75,0
931,548,22,23,0
932,23,726,1,0
933,7,1885,9,0
934,770,1351,89,0
935,607,60,50,0
936,847,2,9,0
937,526,374,16,0
938,2,1098,0,0
939,619,133,98,0
940,11,1276,8,0
941,566,113,7,0
942,16,42,1783,0
943,508,3142,85,2
944,553,9,1313,0
945,82,1178,8,0
946,687,11,243,0
947,864,191,36,1
948,493,50,0,2
949,715,23,85,0
950,63,774,0,5
951,52,1161,1,2
952,562,217,0,2
953,771,73,2,0
954,597,1,86,0
955,1089,1717,1,0
956,9,1611,67,0
957,588,345,0,0
958,562,34,0,1
959,485,0,78,14
960,742,311,61,5
961,15,1401,2,0
962,508,4,8,0
963,638,416,52,2
964,14,2012,2,0
965,714,898,1,0
966,536,92,1,0
967,21,1062,2,0
968,523,528,4,0
969,212,1264,119,6
970,433,1,148,0
971,270,2056,6,0
972,481,138,15,0
973,667,70,319,4
974,649,1,10,0
975,147,2421,36,0
976,2,13,1805,0
977,676,24,231,3
978,415,58,19,40
979,1,1632,2,0
980,123,2008,0,4
981,22,1484,58,1
982,990,140,0,0
983,68,2055,2,0
984,1164,0,6,1
985,517,49,8,0
986,542,881,544,0
987,1,12,1072,0
988,11,1013,2,0
989,963,70,122,0
990,645,17,88,2
991,554,143,607,0
992,705,516,576,2
993,460,81,48,0
994,571,616,124,0
995,393,1431,1,4
996,639,60,194,1
997,540,245,805,0
998,931,137,110,0
999,766,409,26,0
1000,36,80,3436,1
1001,612,138,47,0
1002,786,269,31,0
1003,3,1109,3,0
1004,553,342,83,15
1005,592,54,193,0
1006,274,1777,2,0
1007,29,156,0,0
1008,523,170,24,2
1009,6,1201,4,0
1010,55,9,2746,0
1011,455,63,25,0
1012,12,50,1564,0
1013,507,84,49,0
1014,568,15,40,0
1015,443,9,29,0
1016,305,10,2095,0
1017,669,2,53,0
1018,826,308,7,0
1019,468,53,39,0
1020,606,128,4,0
1021,19,1657,17,0
1022,591,65,5,0
1023,55,16,2196,0
1024,119,1409,1,0
1025,481,69,0,19
1026,476,300,9,0
1027,568,274,0,5
1028,1102,202,110,0
1029,673,1061,1176,16
1030,603,5,11,3
1031,14,15,1309,0
1032,489,54,119,1
1033,821,198,41,0
1034,2,5,1649,0
1035,3,1167,53,4
1036,479,5,229,1
1037,58,32,2875,0
1038,799,415,150,0
1039,501,771,425,0
1040,529,58,19,0
1041,1,1199,1,0
1042,505,491,10,0
1043,657,1,58,2
1044,544,2,19,2
1045,842,7,17,0
1046,1150,61,0,0
1047,832,1,68,0
1048,10,1850,7,0
1049,820,147,0,3
1050,25,1638,151,0
1051,1,685,1,0
1052,134,2263,1,0
1053,448,14,30,0
1054,57,813,26,0
1055,63,1780,7,1
1056,61,1334,12,0
1057,636,107,17,0
1058,456,14,71,0
1059,558,1,20,4
1060,414,1163,4,1
1061,508,34,0,3
1062,551,16,664,0
1063,3,1,2307,0
1064,85,5,1904,0
1065,537,1345,179,0
1066,579,1,1,0
1067,547,641,59,0
1068,149,13,1493,0
1069,499,53,306,0
1070,3,2761,135,0
1071,662,12,224,0
1072,817,10,487,0
1073,934,4,31,0
1074,2,74,10,0
1075,896,4,0,2
1076,663,651,1,0
1077,667,581,477,0
1078,68,826,52,0
1079,99,11,1240,0
1080,1,2,4073,0
1081,5,27,1574,0
1082,7,1,1723,0
1083,8,1072,17,0
1084,656,0,33,0
1085,660,131,354,0
1086,357,1248,114,0
1087,871,0,5,11
1088,844,34,3,0
1089,23,1,3190,0
1090,886,165,6,1
1091,847,25,105,39
1092,504,39,2,0
1093,5,1099,11,0
1094,496,110,7,1
1095,461,412,55,0
1096,781,66,0,1
1097,441,1525,34,0
1098,804,2102,8,0
1099,464,8,0,0
1100,855,40,0,12
1101,717,106,12,0
1102,1,0,1724,1
1103,485,1,7,0
1104,901,44,145,0
1105,608,367,8,0
1106,4,36,2354,0
1107,571,34,12,0
1108,491,152,12,0
1109,4,25,987,0
1110,1097,0,63,1
1111,567,119,10,0
1112,2,7,2544,0
1113,614,1,26,0
1114,30,1659,265,0
1115,1135,16,196,0
1116,1,1043,6,0
1117,810,37,8,0
1118,546,1007,65,0
1119,1056,19,51,0
1120,1,1571,0,0
1121,613,2,8,1
1122,157,1596,4,0
1123,144,1776,31,0
1124,1095,190,15,0
1125,180,1827,98,2
1126,433,9,21,0
1127,1071,149,27,0
1128,502,758,0,2
1129,532,18,218,0
1130,646,39,31,0
1131,960,479,202,0
1132,15,11,1722,0
1133,648,11,5,0
1134,43,1259,1,0
1135,677,40,13,0
1136,446,937,1,0
1137,580,482,1,0
1138,930,401,8,0
1139,470,60,1,0
1140,26,1449,14,0
1141,672,1235,9,0
1142,445,10,87,16
1143,13,677,56,0
1144,518,602,99,18
1145,4,721,28,0
1146,679,3,0,0
1147,753,13,0,0
1148,430,16,5,3
1149,5,1809,0,0
1150,989,2,188,0
1151,600,75,105,0
1152,628,872,14,0
1153,893,43,19,0
1154,758,348,25,0
1155,918,16,0,0
1156,20,4,1791,0
1157,805,65,9,0
1158,162,1280,1,2
1159,35,517,1524,0
1160,13,1325,2,0
1161,588,282,18,0
1162,664,162,0,2
1163,820,41,448,0
1164,485,937,68,0
1165,102,113,3483,0
1166,647,618,314,0
1167,593,2,0,0
1168,17,1190,7,0
1169,33,2090,0,0
1170,10,1852,6,0
1171,6,11,0,0
1172,1204,334,0,1
1173,547,70,13,0
1174,9,1813,183,0
1175,10,1336,7,0
1176,729,322,63,0
1177,479,18,16,0
1178,550,88,9,0
1179,533,1826,0,8
1180,5,923,4,0
1181,574,28,3,0
1182,4,935,132,0
1183,5,42,2590,0
1184,65,180,2743,0
1185,32,206,2352,0
1186,44,1565,0,8
1187,448,69,0,2
1188,1,887,138,0
1189,1015,7,7,0
1190,16,667,83,3
1191,452,18,1,0
1192,95,718,98,0
1193,551,376,406,0
1194,797,79,171,0
1195,1,851,15,0
1196,394,1337,1,0
1197,635,67,120,0
1198,1,2332,7,0
1199,577,689,0,3
1200,985,702,158,0
1201,514,320,20,5
1202,17,1770,46,0
1203,629,193,1,1
1204,4,1442,70,1
1205,10,7,1278,0
1206,48,2423,20,0
1207,478,28,4,0
1208,4,0,0,0
1209,583,578,200,0
1210,62,1519,3,0
1211,879,573,45,0
1212,1076,2,52,0
1213,128,1653,55,0
1214,582,121,4,2
1215,647,0,452,17
1216,620,4,12,0
1217,82,627,93,0
1218,733,69,41,0
1219,712,66,6,0
1220,0,5,3351,0
1221,824,93,9,11
1222,518,108,37,0
1223,30,1224,41,0
1224,478,145,0,7
1225,90,1080,0,0
1226,462,305,1,0
1227,757,39,850,11
1228,29,1309,19,0
1229,689,656,121,4
1230,958,0,8,4
1231,61,416,1653,0
1232,783,0,133,3
1233,527,0,1,0
1234,59,1152,10,0
1235,907,63,18,0
1236,31,14,1557,0
1237,75,1035,11,0
1238,818,36,21,0
1239,48,1854,3,0
1240,567,139,5,0
1241,226,1609,145,0
1242,791,1,686,0
1243,646,0,157,1
1244,1016,258,128,0
1245,686,15,4,0
1246,643,14,5,0
1247,484,460,35,0
1248,12,722,2,0
1249,54,1050,9,1
1250,53,1782,14,0
1251,1,1029,4,0
1252,141,1131,37,0
1253,2,11,2537,0
1254,764,493,2,0
1255,619,9,9,0
1256,13,961,16,0
1257,441,216,0,19
1258,25,1660,5,0
1259,541,1,0,1
1260,1,391,2359,0
1261,656,418,6,0
1262,2,0,0,0
1263,461,30,26,0
1264,457,303,7,0
1265,16,1023,10,0
1266,687,170,17,0
1267,595,6,9,0
1268,710,8,0,105
1269,474,109,0,1
1270,57,1,3046,2
1271,1011,9,0,4
1272,800,21,29,1
1273,586,1,7,0
1274,478,241,202,0
1275,484,59,287,0
1276,1,1458,74,0
1277,766,339,682,0
1278,0,788,1,0
1279,517,485,7,0
1280,9,1054,6,0
1281,1,1,3641,0
1282,853,1394,17,0
1283,823,41,6,0
1284,525,568,1,0
1285,738,1,0,0
1286,5,30,1427,0
1287,767,81,30,0
1288,785,75,2,0
1289,545,6,6,3
1290,1223,36,298,0
1291,529,15,6,0
1292,581,1125,1,0
1293,4,4,1227,0
1294,558,10,82,0
1295,519,2,3,0
1296,761,10,2,0
1297,572,10,39,0
1298,501,125,576,0
1299,15,987,345,0
1300,14,1993,2,0
1301,908,621,239,8
1302,721,133,0,3
1303,20,833,56,0
1304,449,614,12,1
1305,793,1299,0,1
1306,23,2117,2,0
1307,460,79,146,0
1308,466,146,150,3
1309,10,4,1001,0
1310,567,15,778,0
1311,338,2011,4,3
1312,907,769,11,0
1313,572,25,0,5
