绊按锅龋,己喊,楷飞措,芭林瘤开,瘤开疙,醚备概陛咀,乞闭备概陛咀,醚备概惑前俺荐,醚备概扒荐,1雀 乞闭备概扒荐,备概惑前啊瘤荐,林劝悼矫埃,备概力绒荤,版里荤捞侩,牢磐齿劝侩后档,捞侩痢器,促嫡捞
66,F,60技捞惑,24,辑匡,18300000,8570,2140,844,3,425,14,C,0,0,11,0
67,F,60技捞惑,49,辑匡,10700000,5429,1978,411,5,341,17,C,0,0,6,0
68,M,60技捞惑,100,版扁,122000000,147235,1590,890,2,403,18,C,1,0,7,0
69,F,60技捞惑,100,版扁,15700000,4069,3077,601,6,398,11,C,0,0,31,0
70,M,60技捞惑,65,辑匡,32300000,49809,648,430,2,89,19,C,9,0,5,0
71,F,60技捞惑,16,辑匡,4772634,4288,1113,355,3,380,15,C,0,0,8,0
72,F,60技捞惑,100,版扁,9815215,9520,1031,428,2,363,16,C,0,0,29,0
73,F,60技捞惑,460,何魂,122000000,147235,635,571,1,157,15,C,0,0,4,0
74,F,60技捞惑,55,辑匡,32000000,42145,759,575,1,203,15,C,3,42,2,0
75,M,60技捞惑,36,辑匡,5162362,5569,927,682,1,117,13,C,0,0,1,0
76,F,60技捞惑,100,版扁,12300000,13290,923,703,1,220,15,C,0,0,10,0
77,F,60技捞惑,460,何魂,36300000,33285,1092,485,2,260,17,B,9,0,29,0
78,F,60技捞惑,100,版扁,92400000,89763,1029,762,1,227,18,C,0,0,2,0
79,F,60技捞惑,55,辑匡,15900000,7839,2032,378,5,584,15,C,5,0,7,0
80,F,60技捞惑,55,辑匡,10900000,6497,1675,767,2,327,17,C,0,0,195,0
81,F,60技捞惑,16,辑匡,74300000,93490,795,685,1,187,12,C,0,0,20,0
82,F,60技捞惑,55,辑匡,122000000,130449,1183,725,2,353,16,C,0,0,2,0
83,F,60技捞惑,60,辑匡,122000000,115906,1056,786,1,204,16,C,1,0,2,0
84,F,60技捞惑,100,版扁,63200000,125986,502,433,1,159,11,C,0,0,10,0
85,F,60技捞惑,100,版扁,14200000,16193,877,514,2,85,16,D,6,0,7,0
86,F,60技捞惑,100,版扁,40800000,17976,2272,635,4,611,17,D,0,0,43,0
87,M,60技捞惑,13,辑匡,51600000,91988,561,452,1,144,13,C,1,0,1,0
88,F,60技捞惑,49,辑匡,63700000,42346,1504,673,2,460,14,C,9,0,6,0
89,F,60技捞惑,55,辑匡,16000000,7834,2042,690,3,623,18,D,4,0,7,0
90,F,60技捞惑,55,辑匡,57800000,106720,542,451,1,137,15,C,1,0,2,0
91,F,60技捞惑,100,版扁,19100000,20632,924,549,2,191,13,C,0,0,37,0
92,F,60技捞惑,100,版扁,56300000,31410,1794,849,2,536,15,C,0,0,37,0
93,F,60技捞惑,460,何魂,116000000,147235,783,562,1,103,14,C,1,0,25,0
94,F,60技捞惑,100,版扁,72600000,62248,1166,755,2,189,17,C,0,14,7,0
95,M,60技捞惑,100,版扁,7963741,6154,1294,647,2,382,15,D,0,0,43,0
96,F,60技捞惑,55,辑匡,32000000,42560,753,439,2,82,16,B,1,0,2,0
97,M,60技捞惑,360,版合,122000000,147235,1633,723,2,374,11,C,0,0,87,0
98,F,60技捞惑,49,辑匡,22200000,28018,792,555,1,131,12,D,0,0,26,0
99,F,60技捞惑,100,版扁,122000000,147235,1318,894,1,339,14,C,0,0,2,0
100,F,60技捞惑,55,辑匡,27600000,39993,691,569,1,146,17,C,0,0,2,0
101,F,60技捞惑,55,辑匡,7040251,8225,856,644,1,193,19,C,5,0,2,0
102,F,60技捞惑,55,辑匡,114000000,41853,2714,894,3,523,18,C,9,0,69,0
103,F,60技捞惑,24,辑匡,4740818,5250,903,412,2,142,16,C,0,0,1,0
104,F,60技捞惑,49,辑匡,15800000,6308,2498,594,4,441,10,C,0,0,6,0
105,M,60技捞惑,100,版扁,22600000,9524,2375,436,5,502,18,C,0,0,36,0
106,F,60技捞惑,100,版扁,69900000,88795,787,510,2,173,18,C,0,0,10,0
107,F,60技捞惑,60,辑匡,122000000,147235,841,610,1,215,17,C,2,0,12,0
108,F,60技捞惑,69,辑匡,14900000,14798,1005,610,2,133,16,C,0,0,5,0
109,F,60技捞惑,100,版扁,8840169,6051,1461,674,2,291,17,C,0,0,327,0
110,M,60技捞惑,55,辑匡,27000000,18986,1422,670,2,361,12,D,2,0,7,0
111,F,60技捞惑,460,何魂,5202031,3316,1569,697,2,213,9,C,0,0,94,0
112,F,60技捞惑,210,牢玫,101000000,109297,923,636,1,243,17,C,6,17,8,0
113,F,60技捞惑,16,辑匡,95300000,57217,1666,820,2,516,15,C,9,0,20,0
114,F,60技捞惑,100,版扁,23900000,29445,813,588,1,207,15,D,2,0,2,0
115,F,60技捞惑,55,辑匡,68800000,115785,594,436,1,94,16,D,9,0,12,0
116,F,60技捞惑,60,辑匡,8166597,4656,1754,705,2,257,17,C,0,0,318,0
117,F,60技捞惑,55,辑匡,44800000,33952,1320,697,2,316,14,D,2,0,2,0
118,F,60技捞惑,460,何魂,105000000,147235,712,675,1,99,17,C,2,0,29,0
119,M,60技捞惑,410,措备,67000000,68351,980,651,2,239,19,C,3,0,21,0
120,F,60技捞惑,16,辑匡,122000000,147235,1169,894,1,177,11,C,0,0,20,0
121,F,60技捞惑,460,何魂,20100000,22204,906,662,1,232,17,D,4,0,29,0
122,F,60技捞惑,24,辑匡,40500000,33344,1216,525,2,414,17,C,0,27,3,0
123,F,60技捞惑,55,辑匡,10700000,6336,1686,489,3,405,15,C,0,10,13,0
124,F,60技捞惑,16,辑匡,39400000,57748,683,498,1,128,15,D,0,0,20,0
125,F,60技捞惑,60,辑匡,15700000,18423,850,450,2,194,19,C,0,0,2,0
126,F,60技捞惑,55,辑匡,40700000,26290,1548,700,2,414,16,C,0,0,6,0
127,F,60技捞惑,460,何魂,7114074,10746,662,607,1,147,18,D,1,0,4,0
128,F,60技捞惑,60,辑匡,8794430,11034,797,467,2,264,16,C,0,0,6,0
129,F,60技捞惑,340,措傈,7220209,7177,1006,528,2,277,20,C,0,8,80,0
130,F,60技捞惑,13,辑匡,45900000,43455,1056,656,2,255,17,C,3,0,20,0
131,F,60技捞惑,16,辑匡,32800000,14786,2220,894,2,356,17,C,0,0,19,0
132,F,60技捞惑,100,版扁,12100000,6602,1839,506,4,505,21,C,9,0,20,0
133,M,60技捞惑,100,版扁,24600000,20169,1222,646,2,199,19,C,0,0,2,0
134,F,60技捞惑,100,版扁,105000000,134032,785,639,1,195,17,C,1,0,2,0
135,F,60技捞惑,100,版扁,13000000,18425,706,453,2,90,18,D,0,0,7,0
136,F,60技捞惑,100,版扁,30900000,57371,539,472,1,97,16,C,9,0,37,0
137,F,60技捞惑,55,辑匡,113000000,99500,1139,611,2,277,16,C,0,0,69,0
138,M,60技捞惑,500,版巢,48600000,49292,985,489,2,348,15,C,1,4,102,0
139,M,60技捞惑,87,辑匡,48900000,35726,1370,699,2,452,19,D,6,0,2,0
140,F,60技捞惑,65,辑匡,122000000,147235,954,637,2,136,18,C,0,0,1,0
141,F,60技捞惑,33,辑匡,5764623,4267,1351,584,2,216,16,C,0,0,34,0
142,F,60技捞惑,100,版扁,867790,54237,16,16,1,9,16,C,0,0,1,0
143,F,60技捞惑,36,辑匡,7362072,4556,1616,407,4,356,14,D,0,0,9,0
144,F,60技捞惑,72,辑匡,70300000,11801,3077,894,6,598,11,C,0,0,325,0
145,F,60技捞惑,55,辑匡,122000000,147235,888,473,2,192,16,C,0,0,2,0
146,F,60技捞惑,460,何魂,101000000,147235,494,486,1,80,13,A,0,0,25,0
147,M,60技捞惑,500,版巢,97400000,54083,1801,596,3,431,15,C,1,0,87,0
148,F,60技捞惑,65,辑匡,5666097,3927,1443,718,2,205,10,C,9,0,209,0
149,F,60技捞惑,24,辑匡,27600000,32988,836,672,1,178,14,C,9,0,3,0
150,F,60技捞惑,55,辑匡,24300000,14234,1708,444,4,405,21,C,0,0,13,0
151,M,60技捞惑,24,辑匡,83000000,59705,1390,656,2,250,17,C,0,0,3,0
152,F,60技捞惑,13,辑匡,32900000,35984,914,535,2,221,16,C,1,0,406,0
153,F,60技捞惑,16,辑匡,11000000,10191,1076,690,2,161,19,D,0,0,20,0
154,M,60技捞惑,460,何魂,71700000,92309,777,454,2,144,15,C,9,0,94,0
155,M,60技捞惑,610,堡林,55700000,57360,971,564,2,133,13,C,9,0,6,0
156,F,60技捞惑,340,措傈,122000000,116088,1296,767,2,130,16,C,0,0,11,0
157,F,60技捞惑,60,辑匡,14100000,14288,986,542,2,189,15,D,6,0,12,0
158,M,60技捞惑,460,何魂,11800000,10099,1168,601,2,228,16,D,0,0,107,0
159,F,60技捞惑,460,何魂,122000000,147235,640,531,1,225,14,C,1,0,4,0
160,F,60技捞惑,100,版扁,20500000,15229,1348,582,2,371,18,C,0,0,20,0
161,F,60技捞惑,100,版扁,122000000,147235,737,660,1,176,19,C,3,0,2,0
162,F,60技捞惑,340,措傈,70200000,67178,1045,557,2,344,12,C,1,0,11,0
163,F,60技捞惑,47,辑匡,11500000,7434,1543,804,2,358,15,D,5,0,95,0
164,M,60技捞惑,60,辑匡,110000000,115334,951,499,2,300,15,C,0,0,7,0
165,M,60技捞惑,100,版扁,40800000,79415,514,406,1,179,16,C,0,0,7,0
166,M,60技捞惑,100,版扁,34400000,33551,1026,487,2,352,13,C,9,0,7,0
167,F,60技捞惑,100,版扁,44300000,46795,946,445,2,110,16,D,0,0,7,0
168,F,60技捞惑,65,辑匡,85200000,73987,1152,610,2,232,14,C,0,0,12,0
169,F,60技捞惑,210,牢玫,8396141,8447,994,365,3,373,16,C,0,0,34,0
170,F,60技捞惑,460,何魂,14400000,7501,1921,386,5,375,12,C,0,0,84,0
171,F,60技捞惑,55,辑匡,28400000,35902,791,627,1,144,15,C,1,0,2,0
172,F,60技捞惑,55,辑匡,22600000,15642,1443,550,3,279,15,C,0,0,2,0
173,F,60技捞惑,100,版扁,12100000,5806,2077,601,3,376,17,C,9,0,31,0
174,F,60技捞惑,55,辑匡,425200,20248,21,8,3,20,18,B,0,0,13,0
175,F,60技捞惑,55,辑匡,35000000,7264,3077,461,6,585,16,C,0,0,7,0
176,F,60技捞惑,60,辑匡,8115927,6061,1339,683,2,222,14,C,9,0,164,0
177,F,60技捞惑,100,版扁,94000000,143313,656,538,1,189,14,C,0,0,31,0
178,F,60技捞惑,55,辑匡,20300000,10305,1969,722,3,405,11,C,0,0,7,0
179,F,60技捞惑,100,版扁,49600000,34132,1453,690,2,239,19,D,9,0,7,0
180,F,60技捞惑,49,辑匡,53400000,74990,712,479,1,57,11,C,1,0,26,0
181,F,60技捞惑,460,何魂,67900000,73522,923,589,2,228,16,C,3,0,29,0
182,F,60技捞惑,460,何魂,82300000,53321,1544,565,3,312,12,D,0,0,29,0
183,F,60技捞惑,100,版扁,13500000,5794,2323,418,6,562,16,C,2,0,58,0
184,F,60技捞惑,100,版扁,37800000,61478,615,469,1,233,15,C,0,0,37,0
185,F,60技捞惑,100,版扁,10900000,7700,1419,397,4,468,19,C,0,0,20,0
186,F,60技捞惑,45,辑匡,77800000,54064,1439,687,2,445,15,C,0,0,1,0
187,F,60技捞惑,460,何魂,20300000,32196,631,529,1,161,17,C,0,0,29,0
188,F,60技捞惑,55,辑匡,15400000,4821,3077,629,5,439,16,C,9,0,119,0
189,F,60技捞惑,100,版扁,99300000,71351,1392,710,2,147,14,D,2,0,7,0
190,M,60技捞惑,100,版扁,49500000,40885,1211,682,2,113,19,B,0,0,7,0
191,F,60技捞惑,60,辑匡,88400000,147235,508,485,1,107,16,C,1,0,6,0
192,F,60技捞惑,55,辑匡,42200000,36074,1171,894,1,191,11,D,0,0,2,0
193,F,60技捞惑,55,辑匡,10400000,7186,1443,355,4,432,15,C,1,2,13,0
194,F,60技捞惑,55,辑匡,15100000,7315,2066,607,3,516,15,C,0,0,7,0
195,M,60技捞惑,100,版扁,7074880,8534,829,378,2,285,17,C,3,0,20,0
196,F,60技捞惑,16,辑匡,31300000,21093,1483,655,2,586,14,D,0,0,20,0
197,F,60技捞惑,36,辑匡,97300000,76221,1277,629,2,395,18,D,1,0,9,0
198,F,60技捞惑,460,何魂,14300000,10436,1372,601,2,403,12,C,0,3,94,0
199,F,60技捞惑,410,措备,18700000,18566,1008,658,2,240,20,C,0,0,98,0
200,F,60技捞惑,210,牢玫,12600000,11383,1110,690,2,198,21,C,0,0,231,0
201,F,60技捞惑,60,辑匡,122000000,131221,939,664,1,180,19,C,5,0,12,0
202,F,60技捞惑,60,辑匡,102000000,55832,1832,894,2,242,16,C,0,0,312,0
203,F,60技捞惑,100,版扁,6766743,6047,1119,432,3,339,15,C,0,0,20,0
204,F,60技捞惑,610,堡林,24300000,13500,1798,775,2,323,17,C,0,0,121,0
205,F,60技捞惑,75,辑匡,25100000,15887,1579,631,3,502,21,D,0,4,45,0
206,M,60技捞惑,100,版扁,16500000,7975,2068,587,4,500,21,C,4,8,46,0
207,F,60技捞惑,55,辑匡,8050082,6502,1238,418,3,316,19,D,5,0,13,0
208,F,60技捞惑,100,版扁,70100000,147235,444,348,1,182,14,C,0,0,9,0
209,F,60技捞惑,55,辑匡,17900000,26625,673,607,1,156,17,C,8,0,2,0
210,F,60技捞惑,210,牢玫,6202767,5538,1120,601,2,397,10,C,0,5,34,0
211,F,60技捞惑,43,辑匡,21600000,33420,646,451,1,92,17,C,0,0,1,0
212,F,60技捞惑,460,何魂,20500000,11254,1825,640,3,190,12,C,0,0,94,0
213,F,60技捞惑,55,辑匡,47900000,11069,3077,894,5,756.2279047,12,C,0,0,7,0
214,F,60技捞惑,60,辑匡,21000000,17332,1209,702,2,212,16,C,9,0,12,0
215,F,60技捞惑,82,辑匡,14300000,7553,1892,611,3,529,16,B,4,7,71,0
216,F,60技捞惑,100,版扁,11700000,8304,1406,606,2,425,11,C,1,0,20,0
217,F,60技捞惑,210,牢玫,14400000,22804,632,427,1,137,16,C,4,0,8,0
218,F,60技捞惑,460,何魂,122000000,147235,906,743,1,235,14,D,9,0,4,0
219,F,60技捞惑,460,何魂,50800000,39906,1274,624,2,346,20,C,5,0,107,0
220,M,60技捞惑,100,版扁,19300000,8180,2363,337,6,556,11,C,0,17,27,0
221,F,60技捞惑,100,版扁,10700000,8202,1306,402,3,453,16,C,0,41,44,0
222,F,60技捞惑,60,辑匡,76100000,64047,1188,637,2,387,11,C,0,0,2,0
223,M,60技捞惑,45,辑匡,122000000,147235,651,518,1,114,17,C,0,0,1,0
224,M,60技捞惑,100,版扁,122000000,147235,543,454,1,192,15,B,0,0,10,0
225,F,60技捞惑,460,何魂,122000000,147235,849,764,1,180,16,C,3,6,15,0
226,M,60技捞惑,47,辑匡,11100000,11870,937,457,2,322,11,C,0,0,4,0
227,F,60技捞惑,24,辑匡,5958740,3708,1607,546,3,244,13,C,0,0,1,0
228,F,60技捞惑,55,辑匡,12700000,7323,1741,397,4,477,19,C,0,0,13,0
229,F,60技捞惑,100,版扁,73400000,72004,1019,542,2,112,16,C,1,0,12,0
230,F,60技捞惑,87,辑匡,14300000,16426,868,457,2,114,19,D,0,0,5,0
231,F,60技捞惑,55,辑匡,10600000,6055,1744,528,3,370,16,C,1,0,13,0
232,F,60技捞惑,30,辑匡,9896816,4497,2201,894,2,232,21,C,4,0,532,0
233,F,60技捞惑,55,辑匡,20700000,14205,1459,641,2,235,19,C,0,0,13,0
234,M,60技捞惑,100,版扁,33000000,31387,1052,748,1,236,13,C,0,0,37,0
235,F,60技捞惑,60,辑匡,41600000,35969,1156,533,2,233,16,C,0,0,12,0
236,F,60技捞惑,100,版扁,8854032,5080,1743,560,3,248,16,C,0,0,310,0
237,F,60技捞惑,72,辑匡,66700000,48880,1365,588,2,286,19,D,0,0,14,0
238,F,60技捞惑,100,版扁,16600000,20329,819,412,2,79,17,C,0,0,7,0
239,F,60技捞惑,210,牢玫,122000000,147235,842,560,2,158,16,C,0,0,8,0
240,M,60技捞惑,100,版扁,20700000,27812,743,637,1,106,16,D,9,0,7,0
241,M,60技捞惑,100,版扁,70100000,79059,887,609,1,144,15,C,0,1,32,0
242,M,60技捞惑,100,版扁,9857893,7756,1271,455,3,478,21,C,0,42,46,0
243,M,60技捞惑,100,版扁,7751226,7292,1063,466,2,351,17,C,0,0,11,0
244,F,60技捞惑,100,版扁,39000000,40163,971,555,2,113,16,A,0,0,30,0
245,F,60技捞惑,60,辑匡,27100000,10271,2641,579,5,305,15,C,0,0,318,0
246,M,60技捞惑,100,版扁,72400000,99845,725,477,2,242,15,C,0,0,10,0
247,F,60技捞惑,60,辑匡,24100000,10834,2226,894,2,198,12,C,0,0,12,0
248,M,60技捞惑,100,版扁,34800000,19159,1814,593,3,543,16,C,0,12,25,0
249,F,60技捞惑,460,何魂,122000000,147235,714,476,2,150,16,D,6,0,4,0
250,F,60技捞惑,460,何魂,122000000,129115,958,675,1,220,17,C,3,0,4,0
251,F,60技捞惑,100,版扁,53800000,65533,821,505,2,184,14,C,5,0,7,0
252,F,60技捞惑,16,辑匡,11800000,17552,671,479,1,120,16,D,2,0,20,0
253,M,60技捞惑,100,版扁,77500000,136253,569,539,1,146,14,C,0,0,37,0
254,F,60技捞惑,43,辑匡,122000000,141132,921,628,1,111,16,C,5,0,1,0
255,F,60技捞惑,460,何魂,122000000,126072,993,720,1,257,14,C,0,93,4,0
256,F,60技捞惑,460,何魂,122000000,147235,1342,674,2,320,17,C,1,0,144,0
257,F,60技捞惑,55,辑匡,16200000,5695,2837,589,5,613,13,C,0,0,7,0
258,F,60技捞惑,43,辑匡,122000000,147235,863,625,1,202,13,C,4,0,1,0
259,M,60技捞惑,49,辑匡,36100000,11185,3077,503,6,639,20,C,0,0,6,0
260,F,60技捞惑,55,辑匡,12900000,8967,1441,439,3,307,13,C,0,23,7,0
261,M,60技捞惑,460,何魂,30700000,47024,652,457,1,135,16,D,0,0,29,0
262,F,60技捞惑,60,辑匡,36800000,21914,1680,858,2,144,11,C,4,0,12,0
263,F,60技捞惑,100,版扁,6886651,5725,1203,487,2,371,18,C,0,0,44,0
264,F,60技捞惑,210,牢玫,11800000,5285,2238,849,3,392,20,C,0,0,28,0
265,F,60技捞惑,460,何魂,122000000,147235,675,647,1,128,16,C,0,0,4,0
266,F,60技捞惑,16,辑匡,42400000,56617,749,564,1,156,15,C,0,0,20,0
267,F,60技捞惑,100,版扁,50300000,92022,547,495,1,140,11,C,0,0,2,0
268,F,60技捞惑,60,辑匡,55000000,32037,1716,877,2,359,12,C,7,0,12,0
269,F,60技捞惑,60,辑匡,74300000,15282,3077,894,5,400,10,C,0,0,312,0
270,F,60技捞惑,49,辑匡,8969107,6081,1475,433,3,476,16,C,0,0,6,0
271,F,60技捞惑,100,版扁,81000000,113596,713,508,1,99,13,D,6,0,2,0
272,F,60技捞惑,100,版扁,31400000,17590,1785,618,3,484,17,C,1,27,13,0
273,M,60技捞惑,460,何魂,72600000,63838,1137,894,1,233,15,C,7,0,29,0
274,F,60技捞惑,100,版扁,6021500,4464,1349,454,3,285,18,C,0,0,20,0
275,M,60技捞惑,55,辑匡,56300000,20877,2697,894,2,556,12,C,4,0,69,0
276,M,60技捞惑,39,辑匡,11300000,3690,3059,874,4,300,17,C,0,0,308,0
277,F,60技捞惑,460,何魂,19300000,13502,1428,766,2,343,16,C,5,0,94,0
278,M,60技捞惑,210,牢玫,5430673,2792,1945,598,3,220,18,C,0,0,262,0
279,F,60技捞惑,100,版扁,54800000,69608,787,632,1,119,13,C,0,0,1,0
280,M,60技捞惑,16,辑匡,69000000,80255,860,669,1,176,19,C,0,0,20,0
281,M,60技捞惑,24,辑匡,90700000,61306,1480,787,2,351,16,C,0,0,11,0
282,F,60技捞惑,100,版扁,51200000,60464,846,535,2,174,14,C,9,0,4,0
283,F,60技捞惑,100,版扁,122000000,147235,717,646,1,101,15,C,0,0,1,0
284,M,60技捞惑,100,版扁,2914231,5213,559,414,1,115,18,C,0,0,52,0
285,F,60技捞惑,24,辑匡,5856904,6890,850,591,1,121,11,C,1,0,3,0
286,F,60技捞惑,49,辑匡,31700000,31211,1015,555,2,244,16,C,0,0,2,0
287,F,60技捞惑,100,版扁,9093118,9582,949,460,2,362,17,C,0,27,29,0
288,F,60技捞惑,55,辑匡,36100000,15390,2346,643,4,454,18,C,0,0,7,0
289,M,60技捞惑,49,辑匡,17700000,19193,924,494,2,201,13,C,3,0,26,0
290,F,60技捞惑,55,辑匡,12400000,6927,1787,460,4,507,13,B,0,8,13,0
291,M,60技捞惑,36,辑匡,12600000,6016,2089,437,5,447,19,C,0,0,9,0
292,F,60技捞惑,55,辑匡,85100000,58514,1454,894,2,144,16,C,1,0,2,0
293,F,60技捞惑,55,辑匡,24700000,20275,1219,557,2,337,13,C,0,0,7,0
294,F,60技捞惑,460,何魂,62700000,127994,490,436,1,134,13,D,2,0,25,0
295,M,60技捞惑,43,辑匡,34000000,68778,495,437,1,155,12,C,0,0,1,0
296,F,60技捞惑,340,措傈,78300000,39969,1958,894,1,214,16,C,3,0,11,0
297,F,60技捞惑,72,辑匡,64300000,66980,960,529,2,261,16,C,0,0,9,0
298,F,60技捞惑,100,版扁,122000000,116690,1278,523,2,317,15,C,0,12,34,0
299,F,60技捞惑,75,辑匡,20800000,26467,784,553,1,178,20,C,0,0,1,0
300,F,60技捞惑,100,版扁,24000000,11638,2064,429,5,604,16,C,0,32,29,0
301,F,60技捞惑,460,何魂,40700000,60453,673,441,2,156,19,D,9,0,1,0
302,F,60技捞惑,60,辑匡,38500000,32740,1176,604,2,231,13,C,1,0,12,0
303,F,60技捞惑,55,辑匡,29100000,12085,2405,649,4,543,12,D,3,0,13,0
