userID,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
26,A010401,A010402,A010404,A010302,A020302,A010608,A011004,A010403,A010501,A010644
27,A010401,A010402,A010302,A010404,A010608,A010403,A011004,A020302,A010101,A010501
28,B140103,B140101,B140102,B200801,B380404,B051005,B740101,B520503,B100305,B470104
29,A020302,A010401,A010302,A010402,A010404,A011004,A010644,A040224,A010613,A010608
30,C030901,C030401,C130110,C170162,C170202,C010206,C170206,C010110,A010302,C170701
31,A010401,A010302,A010608,A010402,A010404,A011004,A010101,A010902,A010403,A020302
32,B080401,B380802,B800203,A010404,A010302,A010401,B111101,A010403,A010402,A011004
33,B740101,B430101,B140103,B210802,B890103,B100305,B200801,B051005,B140101,B100504
34,A010402,A010404,A010401,A010302,A010608,A011004,A010101,A010403,A010501,A010201
35,A010402,A010401,A010403,A010404,A010302,A010608,A010501,A011004,A010101,A010201
36,A010401,A010402,A010404,A010302,A010608,A011004,A010101,A010403,A010501,A010201
37,A010402,A010401,A010608,A010404,A010302,A010403,A011004,A010101,A010710,A010613
38,B140103,B740101,B200801,B430101,B100504,B140101,B100305,B110203,B380404,B140102
39,A010401,A010402,A010302,A010404,A010608,A020302,A011004,A010403,A010501,A010101
40,A010501,A010402,A090101,A010521,B010202,A070603,A020103,C030401,A010404,A010401
41,A010613,A010401,A010644,A010603,A010646,A020103,A010302,A010402,B100501,A010404
42,B740101,B140103,B100305,B200801,B430101,B380404,B890103,B051005,B210802,B100504
43,B100504,B380404,B200801,B890103,B100502,B100301,B380303,B150102,B100305,B740101
44,A010710,A010403,A010607,A010603,A040224,C010206,C010110,A050306,C060506,A010206
45,A010608,A020302,A011004,A010613,A010644,A010302,A010602,A010401,A010404,A010603
46,A010402,A010401,A010403,A020302,A010404,A010302,A010607,A010608,A010631,A010501
47,B051005,B380303,B380404,B010102,B480401,B790310,B050503,B910201,B910103,B910202
48,A010401,A020302,A010302,A010402,A010404,A011004,A010403,A010608,A010644,A010101
49,A010402,A010501,A010201,A010101,A020302,A010404,A010401,A010302,A010613,A010644
50,A010404,A010402,A010302,A010608,A010401,A010403,A010101,A011004,A010501,A010201
51,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A010101,A010902,A010501
52,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A010902,A010501
53,A011004,A010902,A010601,A010603,A010710,A010644,A010612,A010302,A010608,A010404
54,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A020302,A010613
55,C030401,C150101,C150405,C070101,C030901,C150301,C150401,C150302,C010206,C080201
56,A010402,A010401,A010302,A010501,A010404,A010403,A010644,A010710,A010608,A040902
57,C030401,C150101,C150405,C030901,C070101,C080201,C150302,C150401,C030404,C150103
58,A010401,A010302,A010402,A010404,A010608,A011004,A010101,A010403,A010902,A010201
59,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A010501,A010201
60,A010707,A010501,B650404,A020102,A010605,B910109,A010402,A010608,A010401,B790210
61,C030901,C030401,A010401,A010402,A010404,A010302,A010403,A011004,A010608,C010206
62,A010401,A010402,A010404,A010302,A010608,A011004,A010613,A010403,A010501,A010201
63,A010404,A010402,A010401,A010302,A010608,A011004,A010101,A010403,A010501,A010201
64,B730302,B910202,B910201,B130801,B020102,B010106,B010102,B910204,B051005,B520503
65,A010401,A010402,A010302,A010404,A011004,A010608,A010403,A010101,A010501,A010201
66,B140103,B740101,B430101,B200801,B100504,B140101,B100305,B140102,B110203,B210802
67,B740101,B430101,B140103,B200801,B100504,B380404,B890103,B100305,B380303,B050101
68,B450201,A060202,A041003,A010404,A010302,A010402,A080103,A010401,A060201,A010201
69,C030401,C030901,C150405,C150101,C080201,C150301,C070101,C150302,C010206,C030204
70,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A010902,A010613,A010101
71,B740101,B100305,B140103,B200801,B430101,B100504,B890103,B380404,B140101,B140102
72,B740101,B430101,B200801,B890103,B050101,B051005,B100305,B140103,B380404,B570205
73,A020302,A010401,A010402,A040601,A010613,A011004,A040224,A010302,A020701,A010404
74,A010401,A010302,A010402,A010404,A011004,A010608,A010403,A020302,A010101,A010902
75,A010608,A010302,A010101,A011004,A010902,A010404,A010401,A010402,A010403,A010623
76,A010401,A010302,A010402,A010404,A010608,A011004,A010101,A010403,A010902,A010602
77,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A010101,A020302,A010613
78,A010402,A010404,A010401,A010302,A010403,A010501,A010608,A010644,A010201,A040902
79,B740101,B430101,B140103,B200801,B100504,B100305,B140101,B380404,B110203,B051005
80,C030401,C030901,C070101,C150101,C080201,C150405,C010206,C030404,C070202,C010104
81,A010401,A010302,A010403,A010402,A010501,A020302,A010404,A010613,A010644,A010608
82,A010402,A010401,A010404,B890102,B170203,B050501,B160401,A010302,A010644,B200302
83,A010401,A010402,A010302,A010404,A020302,A010608,A011004,A010403,A010501,A010644
84,A011004,A010401,A010902,A010613,A010602,A010603,A010607,A010302,A010608,A010404
85,A010401,A010402,A010302,A010404,A010608,A011004,A010101,A010403,A010501,A010902
86,B100305,B740101,B210802,B200801,B100504,B140103,B430101,B380404,B380303,B050101
87,A010603,A010623,A010404,A010624,A010626,A010302,A010402,A010608,A010401,A011004
88,A010401,A010302,B100504,B100305,B210802,B740101,A010404,A010402,B100501,A010403
89,B100305,B210802,B200801,B380303,B140103,B051005,B430101,B140102,B740101,B010106
90,A010402,A010401,A010404,A010302,A010403,A010608,A011004,A010501,A020302,A010613
91,A010402,A010404,A010401,A010403,A010302,A010101,A010608,A010601,A010602,A011004
92,A010401,A010302,A010402,A010404,A011004,A010608,A010403,A010101,A020302,A010501
93,A010402,A010401,A010501,A010644,A010404,A040902,A010302,A010403,A040502,A010608
94,A010404,A010402,A010302,A010401,A010608,A010403,A010501,A010101,A010201,A011004
95,B140103,B740101,B100305,B200801,B140101,B430101,B140102,B100504,B140202,B140203
96,A010402,A010401,A010302,A010404,A010608,A011004,A010403,A010101,A010501,A010902
97,C070302,A070601,A070302,C150403,A070602,A010610,C100203,A070101,C070203,A070102
98,A010402,A010401,A010403,A010404,A010201,A010302,A010902,A010608,A010607,A011004
99,A010644,A020302,A090101,A040902,A040302,A040502,A090102,A080106,A010647,A010801
100,A010401,A010302,A010402,A011004,A010608,A010404,A010403,A020302,A010902,A010613
101,A010401,A010302,A010402,A010404,A011004,A010608,A010403,A010613,A010602,A010101
102,A010401,C030401,A010402,C030901,A010302,A010404,A010403,A011004,A010608,C030310
103,C030401,C070101,C010206,C030901,C030104,C070202,C150101,C150103,C150405,C080201
104,B430101,B140103,B200801,B380303,B140102,B740101,B890103,B051005,B100305,B210802
105,B740101,B140103,B430101,B200801,B100504,B140101,B100305,B380404,B051005,B110203
106,A010401,A010402,A010404,A010302,A020302,A010608,A011004,A010403,A010501,A010101
107,A010402,A010404,A010401,A010302,A010201,A010101,A010608,A010403,A010644,A010501
108,A010404,A010402,A010302,A010401,A010608,A010403,A010101,A011004,A010501,A010202
109,C030401,C150101,C030901,C150405,C070101,C150301,C010206,C150302,C150401,C080201
110,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A010902,A010501
111,C070103,C150103,C070201,C150405,C150101,C150401,C070101,C030401,C150302,C070202
112,A010401,A010402,A010302,A020302,A010404,A010608,A011004,A010501,A010403,A010101
113,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A020302,A010902
114,C130103,C060506,C040601,A010603,A010403,A010644,C030401,A060103,A010402,A010401
115,A010402,A010404,A010401,A010403,A010302,A010101,A011004,A010608,A010902,A010501
116,C030401,C030901,C150101,C170206,C070101,C120601,C150405,C070202,C170701,C120101
117,A010404,A010402,A010302,A010401,A010403,A010608,A010501,A010902,A010101,A011004
118,A010201,A020302,A040502,A010623,A010402,A010401,A010404,A010302,A010403,A010608
119,A010401,A010402,A020302,A010302,A010404,A010608,A010403,A010501,A011004,A010644
120,A010404,A010302,A010608,A010201,A010402,A010401,A010601,A040902,A010602,A010403
121,A010644,A010613,A010631,B371001,A010401,A010302,A010402,A010404,A010403,A011004
122,A010404,A010402,A010302,A010401,A010608,A010403,A010501,A010101,A011004,A010201
123,B100305,B430101,B100504,B200801,B380404,B140101,B100301,B140103,B051005,B740101
124,A010401,A010302,A010404,A010608,A010402,A011004,A010101,A010403,A010902,A010501
125,A010404,A010302,A010402,A010401,A010608,A010403,A011004,A010501,A010902,A010101
126,B140103,B430101,B740101,B100305,B140102,B890103,B210802,B200801,B140101,B051005
127,A010401,A010302,A010402,A010404,A011004,A010608,A010403,A020302,A010902,A010602
128,B100305,B200801,B740101,B380404,B140103,B430101,B100504,B051005,B470104,B890103
129,B430101,B100305,B150102,B470106,B730401,B380403,B010208,C070202,B460308,B740101
130,A010404,A010302,A010402,A010401,A010608,A011004,A010101,A010403,A010201,A010613
131,A010404,A010402,A010302,A010608,A010401,A010403,A010101,A010201,C030901,C030401
132,B740101,B430101,B380404,B200801,B100504,B670402,B380303,B050101,B100305,B140103
133,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A010501,A010602
134,A010402,A010401,A010403,A010404,A040902,A010302,A090101,A040601,B380303,B430101
135,A010401,A010402,A010404,A010302,A010608,A011004,A010403,A010101,A010902,A010501
136,A090201,A010644,A060129,A010613,A020302,A010601,A010602,A010403,A040224,A010302
137,A010302,A010401,A010404,A010403,A010402,A010613,C030901,C030401,A040224,A010608
138,A010644,A010402,A020306,A060166,A060167,B150102,B100301,A010404,A010401,A010302
139,A010401,A020302,C170206,A010710,C070101,A010402,A010404,A010302,A010644,A010403
140,A010402,A010401,A010404,A010302,A010608,A020302,A010403,A011004,A010501,A010101
141,C070101,C150405,C030901,C030401,C150301,C150101,C010206,C070202,C150302,C170701
142,A020302,A010401,A010302,A011004,A010402,A010608,A010404,A010613,A010403,A010602
143,B100305,B430101,B200801,B100504,B380404,B051005,B740101,B380406,B140103,B150402
144,C030901,C030401,C030404,C030104,C010104,C030310,C080201,C010110,C010206,C030303
145,A010402,A010401,A010404,A010302,A010608,A020302,A010403,A011004,A010501,A010101
146,A020302,A010401,A010402,A010644,A010403,A010302,A010404,A040224,A010501,A010602
147,A010404,A010402,A010302,A010401,A010608,A010403,A010501,A010101,A011004,A010201
148,C030401,C030901,C150101,C080201,C030404,C070101,C150405,C170206,C150401,C010104
149,A010403,A010501,A010602,A011001,A010607,A010402,A010404,A010401,A010302,B050117
150,B140103,B740101,B430101,B140101,B140102,B200801,B100305,B670402,B100502,B100301
151,A010402,A010401,A010404,A010302,A010608,A010403,A011004,A010101,A010501,A010201
152,C010110,C010104,C010101,C030404,C010103,C010206,C030901,C150405,B270402,C150301
153,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A010101,A010902,A010501
154,A010401,A020302,A010402,A010302,A010404,A010644,A010403,A010613,A010608,A011004
155,A010402,A010401,A010302,A010404,A010608,A011004,A010101,A010403,A010501,A010201
156,A010401,A010402,A010404,A010302,A020302,A010608,A010403,A010501,A011004,A010201
157,A010404,A010302,A010401,A010402,A011004,A010608,A010710,A010403,A010101,A010602
158,A010403,A010613,A010710,A010603,B090302,B090401,B160201,B150102,A010404,A010402
159,A030101,A030102,A030113,A030111,A060114,A030103,A030109,A030110,A010646,A020302
160,A010402,A010401,A010404,A010302,A010608,A010403,A011004,A010101,A010501,A010201
161,A010401,A010644,A040902,A040601,A030109,A020306,A080103,A020105,A080111,A010604
162,A010402,A010404,A010401,A010403,A010608,A010501,A010302,A010201,A020302,A010101
163,C030401,C070101,C150101,C080201,C030901,C170206,C150405,C010110,C070203,C030404
164,A010644,A010646,A010603,A010901,A010630,A010625,A060115,A010401,A010302,A010402
165,A010401,A010302,A010402,A010404,A011004,A010608,A020302,A010403,A010101,A040224
166,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A010101,A020302,A010902
167,A010404,A010402,A010401,A010302,A010608,A011004,A010101,A010403,A010501,A010902
168,A010402,A010404,A010401,A010302,A010403,A010501,A020302,A010608,A010710,A010201
169,B430101,B100305,B200801,B740101,B890103,B051005,B140103,B380404,B010102,B470104
170,B740101,B140103,B100305,B430101,B200801,B140101,B100504,B140102,B380404,B890103
171,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A010101,A010902,A010613
172,A010401,A010402,A010302,A010404,A010608,A010403,A011004,A010101,A010501,A010902
173,C030401,C030901,C070101,C150101,C010206,C170206,C010104,C170701,C150405,C080201
174,A010401,A010302,A010402,A010404,A010608,A011004,A010101,A010403,A010902,A010902
175,B430101,B140103,B100305,B210802,B740101,B380404,B380303,B140101,B050101,B140102
176,C030401,C030901,C070101,C010206,C010110,C010104,C150101,C150302,C150405,C070202
177,A020302,A010403,A040224,A010602,A040902,A060202,A010645,A020208,A010402,A010401
178,B050101,B380303,B051005,B140103,B140102,B430101,B010106,B010102,B910107,B740101
179,A010401,A010404,A010302,A010402,A010608,A011004,A010403,A010101,A010902,A010501
180,A010302,A010403,A010101,A020302,A010404,A010401,A010402,A010608,A010644,A011004
181,A010302,A010201,A040224,A010404,A010402,A010401,A010608,A010403,A010501,A010101
182,A010404,A010402,A010302,A010401,A010608,A010501,A010201,A010403,A010710,A010101
183,B140103,B740101,B210802,B200801,B430101,B100305,B100504,B380404,B380303,B890103
184,A010401,A010402,A010302,A011004,A010404,A010403,A020302,A010608,A010602,A010501
185,B140103,B740101,B140101,B200801,B140102,B210802,B100305,B740102,B430101,B100501
186,A010401,A010302,A010402,A010404,A011004,A010608,A010403,A020302,A010501,A010101
187,A010401,A010403,A010710,A010402,A010630,A010404,A010302,A020103,A010608,A010501
188,C030401,C030901,C150405,C150101,C150301,C080201,C070101,C150302,C010206,C150401
189,A010402,A010401,A010404,A010302,A010608,A020302,A011004,A010403,A010501,A010101
190,A010404,A010402,A010302,A010608,A010401,A010101,A010403,A011004,A010501,A010710
191,A020302,A010401,A010402,A010302,A010404,A010501,A040601,A090101,A010613,A040224
192,A010403,A010613,A010202,A010644,A040601,B150102,A010704,B080302,A080106,A010402
193,B740101,B100305,B670402,B100502,B140202,B140103,B520503,B470104,B150102,B150402
194,B740101,B140103,B430101,B200801,B100504,B140101,B100305,B110203,B140102,B380404
195,B740101,B100305,B140103,B200801,B430101,B100504,B890103,B140101,B670402,B140102
196,C030901,C170206,A010608,C030601,A020102,A090101,A020101,A010404,C030401,A010302
197,A010402,A010201,A020701,A020306,A020102,A030103,A030111,B210802,B150102,A010404
198,B740101,B430101,B200801,B100305,B140103,B100504,B380404,B890103,B470104,B051005
199,B100305,B200801,B100504,B140103,B740101,B430101,B140101,B140102,B100301,B650204
200,C030401,C070101,C150101,C030901,C030404,C010206,C150301,C150405,C170206,C080201
201,A010401,A010402,A010404,A010302,A020302,A010608,A010403,A011004,A010501,A010101
202,C030401,A010401,C030901,A010402,A010302,A010404,A020302,A010403,A011004,C010206
203,B100305,B140103,B380404,B670402,B100301,B480301,B051005,B740101,B430101,B200801
204,B050101,B050503,B010202,B100305,B790310,B050110,B010208,B910104,B570204,B430101
205,B521301,B520503,B051005,B100501,B790503,A040302,B370906,B120901,A020302,B050101
206,B050101,B380303,B380404,B140103,B210802,B051005,B100504,B430101,B740101,B100305
207,B100504,B200801,B051005,B110203,B380406,B890104,B050501,B740302,B380405,B120602
208,A020302,A010401,A010402,A040224,A010302,A060114,A010404,A060166,A020701,A010501
209,A010302,A011004,A010613,A011001,A010644,A010604,A010631,A010401,A010404,A010608
210,B140103,B740101,B430101,B140101,B100504,B890103,B100305,B470104,B140102,B200801
211,A010302,A010608,A010402,A010404,A010101,A011004,A010403,A010401,A010902,A010201
212,C070101,C010206,C010104,C080201,C030401,C070202,C030901,C070203,C150101,C150405
213,B210802,B050101,B380404,B140103,B200801,B051005,B430101,B740101,B100305,B380303
214,A010402,A010401,A010608,A010404,A010302,A011004,A010403,A010101,A010501,A010201
215,B740101,B100305,B140103,B430101,B200801,B100504,B890103,B380404,B140102,B140101
216,B740101,B140103,B670402,B050101,B050503,B890104,B010205,B650204,B100305,B010207
217,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A010902,A010501
218,A010401,A020302,A010402,A010404,A010302,A011004,A010608,A010644,A010501,A010403
219,A010401,A010302,A010402,A010404,A011004,A010608,A010403,A010902,A020302,A010613
220,B140103,B430101,B740101,B100305,B210802,B200801,B140101,B380303,B050101,B100504
221,B380303,B100305,B051005,B100301,B050501,B890104,B100104,B670201,B100303,B520902
222,C100102,C100101,B100801,C070203,A010710,A020302,A010607,A010603,C170206,A040302
223,A010402,A010401,A010404,A010403,A010302,A020302,A010608,A010902,A010501,A010101
224,A020302,A010644,A040224,A010401,A010613,A040222,A010402,A010302,A020701,A010404
225,A020302,A010401,A010402,A010302,A040601,A090101,A010404,A010613,A060114,A010608
226,B100305,B140103,B740101,B100504,B380404,B890103,B200801,B430101,B051005,B670402
227,C030401,C080201,C150302,C030404,C030901,C150101,C150405,C070101,C170701,C150306
228,B200801,B380404,B210802,B160201,B051005,B100502,B380303,B100301,B100305,B740101
229,A010402,A010404,A010302,A010401,A010608,A010403,A010501,A010101,A020302,A010710
230,A010402,A010401,A010302,A010404,A010608,A011004,A010101,A010403,A010501,A010902
231,B430101,B380404,B890103,B051005,B100504,B200801,B050101,B100301,B520503,B110203
232,C150405,C150101,C030401,C070101,C150302,C150301,C030901,C150401,C070202,C080201
233,C030901,C030401,C010206,C010104,C150405,C010110,C070101,C150101,C080201,C030404
234,A010401,A010302,A010402,A010403,A010404,A010613,A020302,A010601,A010608,A040224
235,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A010101,A010902,A020302
236,C150405,C030401,C070101,C030901,C150101,C150401,C080201,C150301,C170206,C150302
237,A010402,A010401,C030901,A010101,A010404,A010302,A020302,A010608,A010403,C170701
238,A010402,A010404,A010401,A010302,A010608,A011004,A010101,A010403,A010501,A010902
239,A010402,A010404,A010302,A010401,A010608,A010403,A010501,A010101,A010201,A011004
240,A010302,A010608,A011004,A010403,A010404,A010902,A010401,A010402,A010613,A020302
241,A010404,A010402,A010302,A010401,A010608,A010501,A010201,A010101,A010403,A010202
242,B140103,B740101,B200801,B430101,B100305,B140101,B100504,B140102,B140202,B890103
243,B140103,B740101,B100305,B430101,B140102,B200801,B140101,B140202,B100504,B140203
244,A010404,A010402,A010302,A010401,A010608,A010403,A010501,A010201,A010101,A010710
245,A010404,A010302,A010402,A010608,A010401,A010403,A010101,A011004,A010501,A010201
246,A010402,A010302,A010501,A010404,A010401,A010601,A040902,A010403,A010646,A010608
247,A010404,A010401,A010302,A010402,A010608,A011004,A010403,A010101,A010902,A010501
248,B380303,B100305,B051005,B521301,B100502,B430101,B200302,B210802,B140103,B010102
249,A010402,A010401,A010404,A010302,A010608,A020302,A010501,A010403,A010201,A011004
250,A010401,A010402,A010404,A010302,A020302,A010608,A010403,A011004,A010501,A010644
251,A010404,A010302,A010402,A010608,A010401,A040224,A010101,A010403,A011004,A010501
252,A010401,A010302,A010402,A010404,A010608,A011004,A010101,A010403,A010902,A020302
253,A010602,A010613,A090101,A010606,A030103,A010650,A050307,A090603,A010302,A010401
254,A020302,A010302,A010401,A010404,A010608,A010402,A011004,A010101,A010403,A010501
255,A010646,A020302,A010801,A030103,A010803,A020305,A080125,A010401,A010403,A010302
256,A010401,A020302,A010402,A010403,A010404,A010302,A010501,A010608,A010613,A011004
257,B430101,B100305,B100504,B380404,B140103,B380303,B740101,B140102,B890103,B051005
258,A010401,A010402,A010302,A020302,A010404,A010608,A010403,A010644,A011004,A010101
259,B050101,B380303,B380404,B051005,B100305,B210802,B100504,B430101,B740101,B140103
260,B140103,B100305,B740101,B100504,B430101,B200801,B140101,B380404,B140102,B140202
261,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A020302,A010501
262,A010404,A010402,A010302,A010608,A010401,A010403,A011004,A010101,A010501,A010902
263,B100305,B740101,B140103,B200801,B430101,B380404,B100504,B890103,B051005,B470104
264,B010202,B100502,B140202,B200302,B910103,B810303,C030401,C150405,C150302,C150301
265,A020302,A010401,A010402,A010644,A040601,A060114,A020701,A060166,A090101,A010302
266,A010401,A010402,A010404,A010302,A010608,A011004,A010403,A010501,A010101,A020302
267,A010602,A010601,A011001,A040224,A010644,A040222,B080203,A010302,A010613,A011004
268,A010401,A010402,A010302,A010404,A011004,A010403,A010608,C030401,C030901,A020302
269,C030401,C030901,C080201,C150101,C030404,C150405,C070101,C010104,C010110,C170206
270,B740101,B140103,B100305,B430101,B200801,B100504,B140101,B140102,B380404,B140202
271,A010402,A010404,A010302,A010401,A010608,A010201,A020302,A010403,A010501,A010101
272,B140103,B740101,B100305,B140101,B430101,B210802,B050101,B670402,B200801,B140102
273,A010401,A010402,A010302,A010404,A020302,A010608,A011004,A010403,A010501,A010644
274,B140103,B100305,B140101,B670402,B100301,B140202,B051005,B740101,B140102,B430101
275,A010404,A010302,A010402,A010401,A010403,A010608,A011004,A010501,A010101,A010201
276,C030401,C030901,C150405,C150101,C150301,C070101,C080201,C010206,C150302,C150401
277,B140103,B740101,B100305,B430101,B200801,B100504,B140101,B140102,B380404,B140202
278,C030401,C150101,C150405,C030901,C070101,C150302,C150301,C170206,C030404,C080201
279,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A020302,A010501
280,A010608,A010101,A020302,A010644,A040224,A010302,A010646,A010901,A010404,A010402
281,C030901,C030401,C010206,C030104,C030303,A010401,C030206,A010607,C030701,C030107
282,A010404,A010402,A010401,A010608,A010302,A010710,A010403,A010101,A011004,A010501
283,A010401,A010402,A010404,A010302,A010608,A020302,A010403,A011004,A010501,A010201
284,B210802,B140103,B270301,B100305,B740101,B200801,B140101,B430101,B140102,B100504
285,A010602,A010613,A010606,A010630,B100802,B310302,A010605,A010619,B050117,A020103
286,A010401,A010302,A010404,A010608,A010402,A011004,A010403,A020302,A010101,A010602
287,B010102,B050503,B100305,B910204,B160402,B261004,B740101,B140103,B430101,B200801
288,B100504,B050117,B210802,B100301,B050501,B050503,B200302,B890104,B890102,B470106
289,A010302,A010401,A010402,A010404,A010608,A011004,A010403,A010101,A010902,A010501
290,B740101,B140103,B200801,B210802,B380404,B380303,B050101,B100305,B521301,B480301
291,B740101,B430101,B140103,B200801,B100504,B140101,B100305,B110203,B140102,B380404
292,A010404,A010402,A010302,A010608,A010403,A010401,A010101,A010501,A010201,A010710
293,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A020302,A010613
294,A030103,A020302,A090102,A010401,A010302,A010402,A010403,A011004,A010404,A010608
295,A040601,A010401,A010625,A010402,A010302,A010404,A010608,A010403,A011004,A010101
296,A010404,A010402,A010302,A010401,A010608,A010403,A010501,A010201,A010101,A011004
297,A010402,A010404,A010403,A010601,A010401,A010302,A010602,A010608,C030401,A010501
298,A010402,A010401,A010404,A010302,A010608,A010403,A020302,A011004,A010501,A010101
299,A010403,A020302,A010602,B910106,A010603,B910202,A010202,B520503,A040601,A010508
300,B380404,B210802,B200801,B051005,B670402,B890103,B430101,B140103,B740101,B100305
301,A010404,A010402,A010501,A010707,A010301,A010401,A010302,A010608,A010403,A010101
302,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A010101,A010902,A020302
303,B740101,B380404,B380303,B100504,B200801,B430101,B140103,B100305,B521301,B210802
304,A010401,A011004,A010608,A010302,A020302,A010402,A010404,A010644,A010613,A010602
305,C150405,C150401,C150403,C150301,C150101,C150302,C070101,C080201,C070202,C150506
306,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A010101,A020302,A010902
307,A010644,A010604,A060114,A010602,A010613,A020302,A010601,A010603,A010302,A010401
308,A010401,A010402,A010302,A010608,A010404,A011004,A010403,A010101,A010501,A010201
309,A010402,A010401,A010404,A010302,A020302,A010403,A010501,A010608,A010201,A011004
310,B380303,B890103,B100305,B520503,B150102,B910103,B890102,B160402,B060901,A010401
311,A010402,A010401,A010302,A010404,A010608,A011004,A010101,A010403,A010501,A010902
312,C070101,C150405,C120601,C120101,C150101,C030401,C070202,C170701,C030901,C150301
313,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A020302,A010101,A010501
314,A010402,A010401,A010404,A010302,A010608,A020302,A010403,A011004,A010501,A010101
315,A010401,A010402,A010404,A010302,A020302,A010608,A010403,A011004,A010501,A010101
316,A010402,A010401,A010404,A020302,A010403,A010302,A010501,A010644,A010608,A010201
317,A010404,A010302,A010608,A010401,A010101,A010402,A011004,A010201,A010902,A010403
318,A010402,A010404,A010401,A010403,A010501,A010302,A011004,A010201,A010608,A010101
319,A010401,A010402,A010302,A010404,A010608,A011004,A010403,A020302,A010613,A010101
320,A010401,A010302,A010402,A010404,A010608,A011004,A010403,A020302,A010101,A010613
321,A010402,A010401,A010403,C030401,A010404,A010302,A010101,C170206,C030404,C010206
322,B140103,B740101,B200801,B430101,B100504,B100305,B140101,B110203,B380404,B140102
323,A030113,A010304,A060202,A040220,A020302,A010401,A010402,A010403,A010302,A010404
324,A010608,A010302,A010101,B140103,A010404,A010402,A010401,B140101,A010644,B100305
325,A010302,A010608,A011004,A010403,A010404,A010401,A010402,A010101,A010103,A010902
326,B200801,A030101,A010631,B140301,B140103,B210802,A030113,B100305,A010653,B100502
327,A020302,A010401,A010402,A010302,A010404,A010644,A040601,A010501,A010613,A040224
328,A040302,A040502,A060114,A030109,A030110,A020701,A030101,A040601,A020102,A040222
329,A010404,A010402,A010401,A010302,A010608,A010501,A010403,A010101,A011004,C030901
330,B380404,B890103,B480301,B210802,B140101,B470104,B520503,A010608,A010402,B470106
331,B740101,B430101,B100305,B140103,B100504,B380404,B200801,B890103,B470104,B140101
